name_muni,abbrev_state,lon,lat
Alta Floresta D'oeste,RO,-62.2746717973343,-12.4701683752082
Ariquemes,RO,-62.9571813236252,-9.95189866832917
Cabixi,RO,-60.6398568867681,-13.4748911317948
Cacoal,RO,-61.3247489211262,-11.3012288259086
Cerejeiras,RO,-61.2609209709601,-13.2035125665393
Colorado Do Oeste,RO,-60.5502372054037,-13.1590835270671
Corumbiara,RO,-61.0916058542441,-12.9266528848552
Costa Marques,RO,-64.0587430833724,-12.1472040630538
Espigão D'oeste,RO,-60.7847986235621,-11.3511878726124
Guajará-Mirim,RO,-64.537541187927,-11.3056736698024
Jaru,RO,-62.5850231151092,-10.592210726445
Ji-Paraná,RO,-61.7573213560979,-10.462283920809
Machadinho D'oeste,RO,-62.0103915265242,-9.2040777497737
Nova Brasilândia D'oeste,RO,-62.2802980232367,-11.6432327251376
Ouro Preto Do Oeste,RO,-62.1726744375206,-10.61045997995
Pimenta Bueno,RO,-60.8303682936753,-11.8944860049588
Porto Velho,RO,-64.3066640322203,-9.15337179721422
Presidente Médici,RO,-61.8779968896294,-11.1662577026147
Rio Crespo,RO,-62.7900533387053,-9.64512538403882
Rolim De Moura,RO,-61.7715402738007,-11.7325468237398
Santa Luzia D'oeste,RO,-61.7009766945948,-12.0272073931686
Vilhena,RO,-60.2524969212002,-12.0878841170706
São Miguel Do Guaporé,RO,-62.9832920428542,-11.6148566044718
Nova Mamoré,RO,-64.6292293101431,-10.3821439550284
Alvorada D'oeste,RO,-62.544970627991,-11.3114276189113
Alto Alegre Dos Parecis,RO,-61.8808016792915,-12.5936470698941
Alto Paraíso,RO,-63.3942487503025,-9.64948594604198
Buritis,RO,-63.9411754749952,-10.0520727292479
Novo Horizonte Do Oeste,RO,-62.0831989955122,-11.6810175539182
Cacaulândia,RO,-62.9872450903097,-10.3315975625424
Campo Novo De Rondônia,RO,-63.7997308689743,-10.4849079364738
Candeias Do Jamari,RO,-63.3256098301803,-8.8870453869034
Castanheiras,RO,-61.8800817618835,-11.4707657293643
Chupinguaia,RO,-60.8984154816815,-12.5373061075663
Cujubim,RO,-62.5653477182341,-9.17106234149215
Governador Jorge Teixeira,RO,-63.1839754296134,-10.7479940646344
Itapuã Do Oeste,RO,-63.0449896551304,-9.1701849825087
Ministro Andreazza,RO,-61.5690077126465,-11.1604523646753
Mirante Da Serra,RO,-62.8479681087891,-11.0767970766153
Monte Negro,RO,-63.3724124916817,-10.2109403511291
Nova União,RO,-62.5324182772601,-10.8894233210016
Parecis,RO,-61.4152603798648,-12.2623138625141
Pimenteiras Do Oeste,RO,-61.5453630949763,-13.1738222392714
Primavera De Rondônia,RO,-61.3153598193213,-11.8787573469507
São Felipe D'oeste,RO,-61.4670610964006,-11.9046590794938
São Francisco Do Guaporé,RO,-63.122131837942,-12.3686899762956
Seringueiras,RO,-63.2307029958414,-11.8072308618567
Teixeirópolis,RO,-62.2798738903301,-10.9436293904556
Theobroma,RO,-62.3424109864712,-10.1217339703054
Urupá,RO,-62.4244444570437,-11.103929485216
Vale Do Anari,RO,-61.9391776701484,-9.73243869912125
Vale Do Paraíso,RO,-62.0939583346553,-10.384045889465
Acrelândia,AC,-66.9504354844468,-9.93366275870166
Assis Brasil,AC,-70.0058087487406,-10.7790793025273
Brasiléia,AC,-69.2076051563629,-10.7467534460403
Bujari,AC,-68.1736704709261,-9.61407047056507
Capixaba,AC,-67.835976414976,-10.4735978665278
Cruzeiro Do Sul,AC,-72.7548610656945,-7.97193336242214
Epitaciolândia,AC,-68.6181896863171,-10.8889344147679
Feijó,AC,-70.7447898976681,-8.92448762153391
Jordão,AC,-71.9061053027515,-9.2426304125435
Mâncio Lima,AC,-73.4390476037866,-7.50448203780092
Manoel Urbano,AC,-69.8537511535792,-9.3811125274713
Marechal Thaumaturgo,AC,-72.5592587187892,-9.09595091260161
Plácido De Castro,AC,-67.3398646574166,-10.2488775605077
Porto Walter,AC,-72.7334389886087,-8.49172131929535
Rio Branco,AC,-68.3709184305693,-10.0660387497298
