unique_id,unique_plot,date,block,plot_id,row,column,mean.GLI,median.GLI
1,B01_P0001,1/24/2025,B01,P0001,1,1,0.330883443,0.311408355
2,B01_P0002,1/24/2025,B01,P0002,1,2,0.324277431,0.307974415
3,B01_P0003,1/24/2025,B01,P0003,1,3,0.330944717,0.312884855
4,B01_P0004,1/24/2025,B01,P0004,1,4,0.373523235,0.360131141
5,B01_P0005,1/24/2025,B01,P0005,1,5,0.372215629,0.359804462
6,B01_P0006,1/24/2025,B01,P0006,1,6,0.357398599,0.343146324
7,B01_P0007,1/24/2025,B01,P0007,1,7,0.352577209,0.338558015
8,B01_P0008,1/24/2025,B01,P0008,1,8,0.371628016,0.350048303
9,B01_P0009,1/24/2025,B01,P0009,1,9,0.351551175,0.327214532
10,B01_P0010,1/24/2025,B01,P0010,1,10,0.340108991,0.3187969
1275,B01_P0001,1/27/2025,B01,P0001,1,1,0.345260143,0.333407704
1276,B01_P0002,1/27/2025,B01,P0002,1,2,0.323738188,0.318982719
1277,B01_P0003,1/27/2025,B01,P0003,1,3,0.32613191,0.30736138
1278,B01_P0004,1/27/2025,B01,P0004,1,4,0.374395728,0.354179365
1279,B01_P0005,1/27/2025,B01,P0005,1,5,0.390895098,0.369742398
1280,B01_P0006,1/27/2025,B01,P0006,1,6,0.378212363,0.356342193
1281,B01_P0007,1/27/2025,B01,P0007,1,7,0.380262256,0.360477967
1282,B01_P0008,1/27/2025,B01,P0008,1,8,0.3745704,0.355785829
1283,B01_P0009,1/27/2025,B01,P0009,1,9,0.351742089,0.326980912
1284,B01_P0010,1/27/2025,B01,P0010,1,10,0.344878972,0.321885006
2549,B01_P0001,1/29/2025,B01,P0001,1,1,0.34482348,0.33050279
2550,B01_P0002,1/29/2025,B01,P0002,1,2,0.316269815,0.304614659
2551,B01_P0003,1/29/2025,B01,P0003,1,3,0.3265315,0.294716122
2552,B01_P0004,1/29/2025,B01,P0004,1,4,0.374148995,0.339526536
2553,B01_P0005,1/29/2025,B01,P0005,1,5,0.340833217,0.301273834
2554,B01_P0006,1/29/2025,B01,P0006,1,6,0.332418412,0.296444733
2555,B01_P0007,1/29/2025,B01,P0007,1,7,0.322969705,0.296860074
2556,B01_P0008,1/29/2025,B01,P0008,1,8,0.332491904,0.299763009
2557,B01_P0009,1/29/2025,B01,P0009,1,9,0.343053013,0.316607969
2558,B01_P0010,1/29/2025,B01,P0010,1,10,0.318368196,0.288027635
3823,B01_P0001,1/31/2025,B01,P0001,1,1,0.326131731,0.305808395
3824,B01_P0002,1/31/2025,B01,P0002,1,2,0.256177425,0.241363482
3825,B01_P0003,1/31/2025,B01,P0003,1,3,0.318419367,0.278210807
3826,B01_P0004,1/31/2025,B01,P0004,1,4,0.378926873,0.33610184
3827,B01_P0005,1/31/2025,B01,P0005,1,5,0.323469281,0.278969222
3828,B01_P0006,1/31/2025,B01,P0006,1,6,0.322035313,0.282843118
3829,B01_P0007,1/31/2025,B01,P0007,1,7,0.318676412,0.284874237
3830,B01_P0008,1/31/2025,B01,P0008,1,8,0.332013458,0.295029123
3831,B01_P0009,1/31/2025,B01,P0009,1,9,0.343583256,0.301346029
3832,B01_P0010,1/31/2025,B01,P0010,1,10,0.332904577,0.285734573
7645,B01_P0001,2/10/2025,B01,P0001,1,1,0.040358145,0.03553248
7646,B01_P0002,2/10/2025,B01,P0002,1,2,0.026304696,0.024959209
7647,B01_P0003,2/10/2025,B01,P0003,1,3,0.136051938,0.122038104
7648,B01_P0004,2/10/2025,B01,P0004,1,4,0.10367316,0.087709328
7649,B01_P0005,2/10/2025,B01,P0005,1,5,0.276948631,0.276427743
7650,B01_P0006,2/10/2025,B01,P0006,1,6,0.255292177,0.254310295
7651,B01_P0007,2/10/2025,B01,P0007,1,7,0.244374052,0.242077103
7652,B01_P0008,2/10/2025,B01,P0008,1,8,0.282360494,0.276971674
7653,B01_P0009,2/10/2025,B01,P0009,1,9,0.277974606,0.274333425
7654,B01_P0010,2/10/2025,B01,P0010,1,10,0.268228471,0.261341491
8919,B01_P0001,2/13/2025,B01,P0001,1,1,0.041774921,0.036026274
8920,B01_P0002,2/13/2025,B01,P0002,1,2,0.024003426,0.023095607
8921,B01_P0003,2/13/2025,B01,P0003,1,3,0.084060736,0.070147793
8922,B01_P0004,2/13/2025,B01,P0004,1,4,0.077100746,0.058763745
8923,B01_P0005,2/13/2025,B01,P0005,1,5,0.220139846,0.216004924
8924,B01_P0006,2/13/2025,B01,P0006,1,6,0.198413253,0.195082107
8925,B01_P0007,2/13/2025,B01,P0007,1,7,0.189633265,0.186069353
8926,B01_P0008,2/13/2025,B01,P0008,1,8,0.230949044,0.226759142
8927,B01_P0009,2/13/2025,B01,P0009,1,9,0.218542084,0.215517892
8928,B01_P0010,2/13/2025,B01,P0010,1,10,0.216421828,0.207079644
10193,B01_P0001,2/17/2025,B01,P0001,1,1,0.025842002,0.020290727
10194,B01_P0002,2/17/2025,B01,P0002,1,2,0.007490372,0.005861578
10195,B01_P0003,2/17/2025,B01,P0003,1,3,0.01536892,0.015262266
10196,B01_P0004,2/17/2025,B01,P0004,1,4,0.018967614,0.016032806
10197,B01_P0005,2/17/2025,B01,P0005,1,5,0.08025942,0.073584677
10198,B01_P0006,2/17/2025,B01,P0006,1,6,0.044132199,0.039498141
10199,B01_P0007,2/17/2025,B01,P0007,1,7,0.041465476,0.037516036
10200,B01_P0008,2/17/2025,B01,P0008,1,8,0.084757715,0.07705681
10201,B01_P0009,2/17/2025,B01,P0009,1,9,0.078143999,0.071656773
10202,B01_P0010,2/17/2025,B01,P0010,1,10,0.085654013,0.077251725
11467,B01_P0001,2/19/2025,B01,P0001,1,1,0.027816048,0.019032298
11468,B01_P0002,2/19/2025,B01,P0002,1,2,0.008431931,0.006631919
11469,B01_P0003,2/19/2025,B01,P0003,1,3,0.013048735,0.013332106
11470,B01_P0004,2/19/2025,B01,P0004,1,4,0.01551027,0.014879906
11471,B01_P0005,2/19/2025,B01,P0005,1,5,0.037528262,0.031661784
11472,B01_P0006,2/19/2025,B01,P0006,1,6,0.021025708,0.018658338
11473,B01_P0007,2/19/2025,B01,P0007,1,7,0.021137444,0.01943822
11474,B01_P0008,2/19/2025,B01,P0008,1,8,0.048513833,0.036354671
11475,B01_P0009,2/19/2025,B01,P0009,1,9,0.036750656,0.029993533
11476,B01_P0010,2/19/2025,B01,P0010,1,10,0.043802895,0.03376509
12741,B01_P0001,2/24/2025,B01,P0001,1,1,0.008961265,-0.014804155
12742,B01_P0002,2/24/2025,B01,P0002,1,2,-0.019353546,-0.026807506
12743,B01_P0003,2/24/2025,B01,P0003,1,3,-0.02596985,-0.021747165
12744,B01_P0004,2/24/2025,B01,P0004,1,4,-0.017558556,-0.013860012
12745,B01_P0005,2/24/2025,B01,P0005,1,5,-0.005238551,-0.006480651
12746,B01_P0006,2/24/2025,B01,P0006,1,6,-0.011731784,-0.011643709
12747,B01_P0007,2/24/2025,B01,P0007,1,7,-0.012062699,-0.012547474
12748,B01_P0008,2/24/2025,B01,P0008,1,8,-0.00416292,-0.00598581
12749,B01_P0009,2/24/2025,B01,P0009,1,9,-0.006709482,-0.007499911
12750,B01_P0010,2/24/2025,B01,P0010,1,10,-0.002729192,-0.00477407
14015,B01_P0001,2/26/2025,B01,P0001,1,1,0.015921174,-0.002900827
14016,B01_P0002,2/26/2025,B01,P0002,1,2,-0.008003554,-0.010831636
14017,B01_P0003,2/26/2025,B01,P0003,1,3,-0.013643914,-0.007058126
14018,B01_P0004,2/26/2025,B01,P0004,1,4,-0.008027657,-0.00240397
14019,B01_P0005,2/26/2025,B01,P0005,1,5,0.000683319,0.001285774
14020,B01_P0006,2/26/2025,B01,P0006,1,6,-0.00375717,-0.002237261
14021,B01_P0007,2/26/2025,B01,P0007,1,7,-0.003785665,-0.002340843
14022,B01_P0008,2/26/2025,B01,P0008,1,8,-0.001459989,-0.001124028
14023,B01_P0009,2/26/2025,B01,P0009,1,9,-0.002892507,-0.001500468
14024,B01_P0010,2/26/2025,B01,P0010,1,10,0.000327871,0.000800987
15289,B01_P0001,2/28/2025,B01,P0001,1,1,0.033249967,0.00391888
15290,B01_P0002,2/28/2025,B01,P0002,1,2,0.007306049,-0.002915689
15291,B01_P0003,2/28/2025,B01,P0003,1,3,-0.012013523,-0.003854501
15292,B01_P0004,2/28/2025,B01,P0004,1,4,-0.003853239,0.000893511
15293,B01_P0005,2/28/2025,B01,P0005,1,5,0.003874687,0.00386625
15294,B01_P0006,2/28/2025,B01,P0006,1,6,0.000383111,0.002477239
15295,B01_P0007,2/28/2025,B01,P0007,1,7,0.001623902,0.002489609
15296,B01_P0008,2/28/2025,B01,P0008,1,8,0.005350737,0.004259637
15297,B01_P0009,2/28/2025,B01,P0009,1,9,0.003667104,0.004410722
15298,B01_P0010,2/28/2025,B01,P0010,1,10,0.00791996,0.006807463
